Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,price_numeric,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Sephora,Tint,https://www.sephora.me/sa-en/p/back-to-school/P10060113,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwca3df98a/images/hi-res/SKU/SKU_5482/740208_swatch.jpg,SEPHORA FAVORITES Back To School, 220.00,220.0,5.3981627015177525,1.1458012186995667,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/blush-n'-glow/P10059470,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwf76353e2/images/hi-res/PID_principal/PID_principal_4601/P10059470_principal.jpg,SEPHORA FAVORITES Blush N' Glow, 220.00,220.0,5.3981627015177525,1.1458012186995667,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/solar-tint-blush-duo/P10057205,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwfd9e8a5e/images/hi-res/SKU/SKU_5069/710080_swatch.jpg,SIMIHAZE BEAUTY Solar Tint - Blush Duo, 195.00,195.0,5.278114659230517,1.0138554682473442,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/sun-flush-all-over-face-tint/P10057254,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw60754dc6/images/hi-res/SKU/SKU_5038/710071_swatch.jpg,SIMIHAZE BEAUTY Sun Flush - All-Over Face Tint, 170.00,170.0,5.14166355650266,0.8638809846453348,1,0,1,3,0
,Noon,Tint,https://www.noon.com/saudi-en/saie-dew-blush-liquid-cheek-flush-cutie-12ml/Z23D61FE09AC6C166ACDEZ/p/?o=z23d61fe09ac6c166acdez-1,https://f.nooncdn.com/p/pzsku/Z23D61FE09AC6C166ACDEZ/45/_/1716281377/1ac5f396-2945-4485-b47e-230ef76d0822.jpg?format=jpg&width=240,"Saie SAIE Dew Blush Liquid Cheek Flush Cutie, 12ml",178,178.0,5.187385805840755,0.9141346696395798,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/amazonian-clay-12-hour-blush/P10056348,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw6644899a/images/hi-res/SKU/SKU_4895/711180_swatch.jpg?sw=640&sh=640&sm=fit&q=85,TARTE Amazonian Clay 12-Hour Blush, 165.00,165.0,5.111987788356544,0.8312641137352971,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/blush-tape%E2%84%A2-liquid-blush/P10049283,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw1db69c5f/images/hi-res/SKU/SKU_4346/653466_swatch.jpg?sw=640&sh=640&sm=fit&q=85,TARTE Blush Tape™ Liquid Blush, 163.00,163.0,5.099866427824199,0.8179414307371399,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/blush-tape%E2%84%A2-satin-liquid-blush/P10061297,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwd47e3d6c/images/hi-res/SKU/SKU_5755/749003_swatch.jpg,TARTE Blush Tape™ Satin Liquid Blush, 165.00,165.0,5.111987788356544,0.8312641137352971,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/clay-play-face-shaping-palette-v2/P3643083,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw7fad83e7/images/hi-res/PID_principal/PID_principal_283/P3643083_principal.jpg,TARTE Clay Play Face Shaping Palette V2, 240.00,240.0,5.484796933490655,1.2410215866016592,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/maneater%E2%84%A2-blush-%26-glow%E2%84%A2-cheek-plump-hybrid-blush-highlighter/P10051652,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw51ee6bfc/images/hi-res/SKU/SKU_4346/689505_swatch.jpg?sw=640&sh=640&sm=fit&q=85,TARTE Maneater™ Blush & Glow™ Cheek Plump - Hybrid Blush Highlighter, 150.00,150.0,5.017279836814924,0.7271698569538985,1,0,1,1,0
