name,price,page,url,price_numeric,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
NIBEMINENT Headlight Taillight Tint Vinyl Film Protector Sticker,64.90,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,64.9,,4.188138441508461,-0.10747418766556423,1,2,2,1,1
Peach C Peach C River Glow Tint 04 Breeze Fig,39,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,39.0,,3.6888794541139363,-0.5754906693366386,1,2,2,1,1
Peripera Ink Mood Glowy Tint -26 Why So Berry,50,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,50.0,,3.9318256327243257,-0.34774751674554355,1,2,2,1,1
"Peripera Ink Mood Glowy Tint | Lip-Plumping, Naturally Moisturizing, Lightweight, Glow-Boosting, Long-Lasting, Comfortable, Non-Sticky, Mask Friendly, No White Film (02 CORAL INFLUENCER)",63.50,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,63.5,,4.1666652238017265,-0.1276036596530588,1,2,2,1,1
Peripera Over Blur Tint 001 Warm-Bassador,37,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,37.0,,3.6375861597263857,-0.6235741446043757,1,2,2,1,1
Peripera Over Blur Tint 003 Pink Check,39.50,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,39.5,,3.7013019741124933,-0.563845522729355,1,2,2,1,1
Peripera Over Blur Tint 005 Vintage Acorn,42,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,42.0,,3.7612001156935624,-0.5076956722725713,1,2,2,1,1
Peripera Over Blur Tint 006 Mauve-Treaming,42,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,42.0,,3.7612001156935624,-0.5076956722725713,1,2,2,1,1
Peripera Water Bare Tint 002 Universal Coral,42,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,42.0,,3.7612001156935624,-0.5076956722725713,1,2,2,1,1
Phoenix Acrylic color (Flesh Tint 201) size 500 ml,41.50,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,41.5,500.0,3.7495040759303713,-0.5186598001454022,1,2,2,1,1
Phoenix oil color Flesh Tint 201) 200 ml,59.75,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,59.75,200.0,4.1067670822206574,-0.1837535101098425,1,2,2,1,1
REVOLUTION Pout Tint Sizzlin Red,44,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,44.0,,3.8066624897703196,-0.4650782314231699,1,2,2,1,1
REVOLUTION Pout Tint Sweetie Coral,44,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,44.0,,3.8066624897703196,-0.4650782314231699,1,2,2,1,1
"SUNBIRD Mirror Effect Tint Glass Covering For Home Office, Daytime Privacy Protecting Reflective Heat Control Anti Uv Door Sticker For House 17.7 Inch X 6.5 Feet",127,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,127.0,,4.852030263919617,0.5148727760948204,0,2,3,2,1
"Swiss Beauty Swiss Beauty Dip Tint Colour Changing PH Lip Oil | With Vitamin E for Long-Lasting Nourishment and Hydration| Soft and Natural Pink Lips | Shade- Strawberry, 3ml",37.50,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,37.5,3.0,3.6506582412937387,-0.611320084531872,1,2,2,1,1
TIRTIR Waterism Glow Tint 01 Mauve Rose 4Gram,58.50,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,58.5,,4.085976312551584,-0.20324324012458564,1,2,2,1,1
"Urbaano herbal Kumkumadi Lip Oil Serum-Roll On, Tint Free,Transparent- Hydrates, Softens, Restores Natural Colour To Dark, Dry, Pigmented And Chapped Lips For Men, Women & Teenagers - 10Ml",46.40,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,46.4,10.0,3.858622228701031,-0.416370016214452,1,2,2,1,1
YADAH Be My Tint Long Lasting Color Lip Tint Set,66,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,66.0,,4.204692619390966,-0.09195593304192834,1,2,2,1,1
"the SAEM The Saem Saemmul Water Candy Tint 02 Apple, Hydrating & Long-lasting Water-Based Tint, Korean Cosmetics, 10g",69,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,69.0,,4.248495242049359,-0.05089438009616783,1,2,2,1,1
