name,price,page,url,price_numeric,volume,price_per_volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
Casanova Ocean Blue Body Splash 235Ml 235ml,36.45,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,36.45,235.0,0.15510638297872342,-1.8636440556894918,0.2511091265787346,0,0,0,1,0
Casanova Ocean Blue Fragrant Body Splash 235ml,28.95,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.95,235.0,0.12319148936170213,-2.0940153101251546,-0.2264897341780754,0,2,2,4,0
Casanova Pomegranate Fragrant Body Splash 235ml,28,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.0,235.0,0.11914893617021277,-2.127381003968955,-0.29566250231356345,0,2,2,4,0
Casanova Sandal Fresh Body Splash 235Ml 235ml,28.90,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.9,235.0,0.12297872340425531,-2.0957439190257725,-0.23007343494686966,0,2,2,4,0
J.CASANOVA Bakhoor Romance Body Splash 235Ml 325ml,33,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,33.0,235.0,0.14042553191489363,-1.9630779526776787,0.044965716722750314,0,2,0,4,0
J.CASANOVA Bakhoor Romance Fragrant Body Splash 235 ml,29.90,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,29.9,235.0,0.12723404255319148,-2.0617270337475184,-0.15955063601873132,0,2,2,4,0
J.CASANOVA Bakhoor Romance Fragrant Body Splash 235ml,26.95,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,26.95,235.0,0.11468085106382979,-2.1656022167891527,-0.37490158856322375,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - Cassis Rose 235ml,30.05,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,30.05,235.0,0.12787234042553192,-2.0567228531629422,-0.14917611706206,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - French Vanilla 235ml,27,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,27.0,235.0,0.1148936170212766,-2.16374864813983,-0.37105882494490794,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - French Vanilla 235ml,32.70,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,32.7,235.0,0.1391489361702128,-1.9722104362409512,0.02603252231712049,0,2,0,4,0
J.CASANOVA Fragrant Body Splash - Mukhallat 235ml,29.95,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,29.95,235.0,0.1274468085106383,-2.0600561895827005,-0.1560866913891202,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - Ocean Blue 235ml,31.75,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,31.75,235.0,0.1351063829787234,-2.001692788805458,-0.03508941770848082,0,2,0,4,0
J.CASANOVA Fragrant Body Splash - Oud Exuberance 235ml,29.90,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,29.9,235.0,0.12723404255319148,-2.0617270337475184,-0.15955063601873132,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - Pomegranate 235ml,27.25,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,27.25,235.0,0.11595744680851064,-2.154531993034906,-0.35195112859241245,0,2,2,4,0
J.CASANOVA Fragrant Mukhallat Touch Of Orient Body Splash 235ml,27.80,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,27.8,235.0,0.11829787234042553,-2.1345494934475675,-0.310524002359302,0,2,2,4,0
J.CASANOVA Fragrant Oud Exuburance Body Splash 235ml,27.80,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,27.8,235.0,0.11829787234042553,-2.1345494934475675,-0.310524002359302,0,2,2,4,0
J.CASANOVA Neroli Jasmine Fragrant Body Splash 235ml,27.50,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,27.5,235.0,0.11702127659574468,-2.145399509471633,-0.33301793418678216,0,2,2,4,0
J.CASANOVA Oud Exuberance Fragrant Body Splash 235ml,26.20,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,26.2,235.0,0.11148936170212766,-2.193826103377108,-0.43341451420387195,0,2,2,4,0
"J.CASANOVA Paris Body Splash, Pomegranate 235ml",27,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,27.0,235.0,0.1148936170212766,-2.16374864813983,-0.37105882494490794,0,2,2,4,0
"J.CASANOVA Paris Body Splash, Pomegranate 235ml",28,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.0,235.0,0.11914893617021277,-2.127381003968955,-0.29566250231356345,0,2,2,4,0
LINA ROSE LINAROSE 001 BODY SPLASH 250ML,23,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,23.0,250.0,0.092,-2.385966701933097,-0.8317547116398327,0,2,2,0,0
LINA ROSE LINAROSE 002 BODY SPLASH 250ML,23,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,23.0,250.0,0.092,-2.385966701933097,-0.8317547116398327,0,2,2,0,0
LINA ROSE LINAROSE 003 BODY SPLASH 250ML,26,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,26.0,250.0,0.104,-2.2633643798407643,-0.5775792091411459,0,2,2,4,0
LINA ROSE LINAROSE 005 BODY SPLASH 250ML,23,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,23.0,250.0,0.092,-2.385966701933097,-0.8317547116398327,0,2,2,0,0
LINA ROSE LINAROSE 006 BODY SPLASH 250ML,23,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,23.0,250.0,0.092,-2.385966701933097,-0.8317547116398327,0,2,2,0,0
La Rose Bloom Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose Bloom Perfume Splash 250ml,28,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.0,250.0,0.112,-2.1892564076870427,-0.42394075646041207,0,2,2,4,0
La Rose Bubble Perfume Splash 250ml,21.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,21.5,250.0,0.086,-2.4534079827286295,-0.9715719772740831,0,2,2,0,0
La Rose Caramel Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose Caramel Perfume Splash 250ml,22.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,22.5,250.0,0.09,-2.4079456086518722,-0.87732073000129,0,2,2,0,0
La Rose De Faan White Petals Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose De Faan White Petals Perfume Splash 250ml,28,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.0,250.0,0.112,-2.1892564076870427,-0.42394075646041207,0,2,2,4,0
La Rose Dusk Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose Endless Love Perfume Splash 250ml,20,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,20.0,250.0,0.08,-2.5257286443082556,-1.1215050306153995,0,2,2,0,0
La Rose Endless Love Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose Gold Silk Perfume Splash 250ml,19.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,19.5,250.0,0.078,-2.551046452292545,-1.1739931601772988,0,2,2,0,0
La Rose Gold Silk Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose Green Earth Perfume Splash 250ml,22,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,22.0,250.0,0.088,-2.430418464503931,-0.9239107890743619,0,2,2,0,0
La Rose Green Earth Perfume Splash 250ml,23.45,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,23.45,250.0,0.0938,-2.366590422969958,-0.7915843840476565,0,2,2,0,0
La Rose Orange Dusk Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose Petal Perfume Splash 250ml,20.50,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,20.5,250.0,0.082,-2.501036031717884,-1.0703130376249532,0,2,2,0,0
La Rose Petal Perfume Splash 250ml,27,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,27.0,250.0,0.108,-2.2256240518579173,-0.49933707909175656,0,2,2,4,0
