Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Sephora,Concealer,https://www.sephora.me/sa-en/p/everlasting-concealer-long-lasting-concealer-%26-moisturizer/P10013593,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw7d66725a/images/hi-res/SKU/SKU_2039/528303_swatch.jpg,CLARINS Everlasting Concealer - Long Lasting Concealer & Moisturizer,163.0,,5.099866427824199,0.9782690604002406,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/instant-concealer/P1518012,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw8f55f3a7/images/hi-res/PID_principal/PID_principal_1/P1518012_principal.jpg,CLARINS Instant Concealer,192.0,,5.262690188904886,1.2109711171314246,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/beyond-perfecting-foundation-%2B-concealer-2-in-1/P2112017,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwd272533c/images/hi-res/SKU/SKU_4/322718_swatch.jpg,CLINIQUE Beyond Perfecting - Foundation + Concealer 2-in-1,245.0,,5.5053315359323625,1.5577456918406938,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/even-better-concealer/P10011913,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwcd9fe42b/images/hi-res/SKU/SKU_1749/528960_swatch.jpg,CLINIQUE Even Better Concealer,195.0,,5.278114659230517,1.2330152336961122,0,1,2,1,1
,Noon,Concealer,https://www.noon.com/saudi-en/flawless-full-cover-concealer-beige/N29253351A/p/?o=ba1f72f8129c401f,https://f.nooncdn.com/p/v1567080495/N29253351A_1.jpg?format=jpg&width=240,Colorbar Flawless Full Cover Concealer Beige,161.0,,5.087596335232384,0.960733070791313,0,1,2,1,1
,Noon,Concealer,https://www.noon.com/saudi-en/trublend-undercover-concealer-classic-ivory-0-33-fl-oz/Z742E1970BF6743DFB5EBZ/p/?o=z742e1970bf6743dfb5ebz-1,https://f.nooncdn.com/p/pzsku/Z742E1970BF6743DFB5EBZ/45/_/1654022273/2f32d872-e204-4e9c-b3aa-02729e376bc1.jpg?format=jpg&width=240,CoverGirl Trublend Undercover Concealer Classic Ivory 0.33 Fl Oz,158.0,9.759255,5.0689042022202315,0.9340189243562287,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/dior-backstage-face-%26-body-flash-perfector-concealer/P10024438,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwa696af01/images/hi-res/SKU/SKU_3165/578173_swatch.jpg,DIOR BACKSTAGE Dior Backstage Face & Body Flash Perfector Concealer,155.0,,5.049856007249537,0.9067959065529447,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/dior-forever-skin-correct/P10048279,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwc99df379/images/hi-res/SKU/SKU_3963/652818_swatch.jpg,DIOR Dior Forever Skin Correct,205.0,,5.327876168789581,1.3041326525764225,0,1,2,1,1
,Amazon,Concealer,https://www.amazon.sa/-/en/Double-Beauty-Shape-Contour-Concealer/dp/B07MVYXPW7/ref=sr_1_296?dib=eyJ2IjoiMSJ9.KFsWLgiQxU0AAODejc6otrkwJ13itIvVcQTNecybN2k_J7HA_pIYFHVjbnMyLJs-9AuWZRgLf4Y1gWOGg5ZNPCUkM3o4ri8Ad6wIlrjciyi6Q3_0rijGjPUmKPyE_bF_wBrveScwIyUIhCOr_TVXC2c0wgpZBYpELV6nzhahdi60vgJoQDfnDFAQwWTXDq6Pv59To9SZ2nhAyA0RR2Fpp2d_4aThn3vFG5FnCsiDRN-2rpxiP4A5u2RSv1WVL-T5fkbWu4HySfjYjXMB210Xiuuq4O4IGnpMmrzOIWnyGHo.VqP24aWqxT2nRTSvf4RiC85AcZvvhYriNMES7Bc1mAw&dib_tag=se&qid=1743936914&refinements=p_123%3A189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C408954%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-296&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/61Nr-yeZ8WL._AC_UL320_.jpg,Double Duty Beauty Shape Tape Contour Concealer Tan,140.0,,4.948759890378168,0.7623128521918202,0,1,2,1,1
,Amazon,Concealer,https://www.amazon.sa/-/en/81501-Studio-Under-Concealer-Highlight/dp/B002B4O7XE/ref=sr_1_347?dib=eyJ2IjoiMSJ9.nbRpDpZb0wqVuqUpmBWxGFmkYudqOq8UA0C9v0yy7rA-sJbArX7v4DqWi9DnbmaIYbNT6awdORbQkJrWeZo2ktaANYTP0rDUZMTUVulK5YumTRns4sv29ixLXJwnpZoTJ3uP2iSsplpvkfacFQHkKu15yePw8VPP226KRJBYKTm081VmlCSnJTXDBhVuIRALPQpRkWEqpBExef14pqqnpzYNEhMnXvu3cz5TOXCWqoAV6sq6PUfxcLFMOtdp_OTUAC-Gn6BSezsL2NVoCN97WHUX64RLLCzDZm1ZFjr4Oms.V5qO4VZyEopbjpI7i4YekyxlvtEct1S_J5DUh4BN7TQ&dib_tag=se&qid=1743936918&refinements=p_123%3A189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C408954%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-347&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/61BJH6AzuiL._AC_UL320_.jpg,"E.L.F 81501 Studio Under Eye Concealer & Highlight - Fair/Glow, .4 Fl. Oz",202.0,118.294,5.313205979041787,1.2831665275815778,0,1,2,1,1
